i	Chaine	Hachage500	Hachage5000	Arbre
500	1.000000	0.054050	0.017046	0.014839	0.029813
1000	1.000000	0.243479	0.061750	0.043926	0.084593
1500	1.000000	0.700270	0.115939	0.097921	0.124802
2000	1.000000	1.351107	0.203765	0.156544	0.197654
2500	1.000000	3.073810	0.408902	0.298115	0.271176
3000	1.000000	4.508890	0.692958	0.403386	0.350617
3500	1.000000	6.965031	1.021036	0.567939	0.430280
4000	1.000000	9.827640	1.190187	0.751736	0.504848
4500	1.000000	13.594748	1.617483	0.987486	0.549730
5000	1.000000	18.264249	2.147234	1.292415	0.625854
